Initials,NbJobs,NbCompletedJobs,AvgNbUsedProducts,ActualVisits,Charges,Efficiency,JobId,PlannedVisits,Price,Profitability,ServiceName,StartDate,UnitSize,Warranty,DegreInfestation,NoCollaboration,Cluttered,NotEmpty,NoKeys,Ready,Refusal,Repulsif,Experience
AM,7709,1338,0.819431833,2,150,50,SS092751,1,150,75,Blattes TRAITEMENT,2020-02-19 13:00:00,3,6,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,84
AM,7709,1338,0.819431833,2,150,50,SS092753,1,150,75,Blattes TRAITEMENT,2020-02-19 13:00:00,3,6,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,84
AM,7709,1337,0.819431833,2,175,50,SS093601,1,175,87.5,Blattes TRAITEMENT,2020-02-14 17:30:00,3,3,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,84
AM,7709,1358,0.819431833,2,175,50,SS094227,1,175,87.5,Blattes TRAITEMENT,2020-05-05 12:00:00,1,6,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,87
AM,7709,1342,0.819431833,2,95,50,SS094818,1,95,47.5,Blattes TRAITEMENT,2020-02-25 19:00:00,2,3,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,84
AM,7709,366,0.819431833,5,95,20,SS101694,1,95,19,Souris TRAITEMENT,2020-04-22 12:00:00,4,3,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,86
AM,7709,366,0.819431833,5,95,20,SS101695,1,95,19,Souris TRAITEMENT,2020-04-22 12:00:00,3,3,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,86
AM,7709,5,0.819431833,1,325,100,SS104977,1,325,325,Pyrale indienne TRAITEMENT,2020-07-31 12:00:00,4,3,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,90
AM,7709,1389,0.819431833,2,95,50,SS106390,1,95,47.5,Blattes TRAITEMENT,2020-06-15 15:45:00,3,3,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,88
AM,7709,1384,0.819431833,2,175,50,SS106783,1,175,87.5,Blattes TRAITEMENT,2020-06-11 12:15:00,1,3,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,88
